Date,Exchange rate,CPI,Production Tons,Monthly_Output_Gap,total_rainfall,total_temp_max,M1(Billion),M2(Billion),Inflation rates
1/1/2010,572.14434,82.83,844938.265,-1.13708748,947.7,7263.5,250.61,416.5,9.10%
2/1/2010,572.780008,82.99,844938.265,-1.13708748,1903.3,6590.7,248.63,410.18,7.70%
3/1/2010,572.61844,83.14,844938.265,-1.13708748,1653.1,7115.4,247.8,407.97,6.50%
4/1/2010,573.997419,83.33,844938.265,-1.15499013,2132.1,10782.2,269.58,428.24,5.70%
5/1/2010,578.631079,83.63,844938.265,-1.15499013,1819.9,10709.8,270.63,437.04,5.10%
6/1/2010,584.378959,83.97,844938.265,-1.15499013,498.5,10549.1,290.61,462.05,4.80%
7/1/2010,589.385363,84.18,844938.265,-0.591190944,27.5,11033.8,292.98,467.15,4.40%
8/1/2010,588.967396,84.32,844938.265,-0.591190944,129,11149.4,288.3,466.28,4.20%
9/1/2010,588.351472,84.42,844938.265,-0.591190944,1326.3,8599.4,293.78,466.81,3.80%
10/1/2010,590.169656,84.43,844938.265,-0.17429547,1579.6,10639.3,309.91,480.69,3.30%
11/1/2010,592.373981,84.44,844938.265,-0.17429547,1623.7,10693.1,298.2,481.42,2.80%
12/1/2010,603.447898,84.46,844938.265,-0.17429547,1154.9,8552.5,330.57,516.71,2.30%
1/1/2011,596.750183,84.54,934355.3808,-0.755458994,1331.7,11067,317.92,501.85,2.10%
2/1/2011,600.244444,84.72,934355.3808,-0.755458994,1492,9421.7,311.68,500.73,2.10%
3/1/2011,599.530161,85,934355.3808,-0.755458994,1939.5,9944.5,323.09,510.67,2.20%
4/1/2011,601.268174,85.35,934355.3808,-1.35879886,2076.1,10346.4,345.04,537.14,2.40%
5/1/2011,599.276092,85.67,934355.3808,-1.35879886,1294.9,9917.3,354.29,558.57,2.40%
6/1/2011,600.004921,86.08,934355.3808,-1.35879886,1158.1,9683.9,374.23,607.43,2.50%
7/1/2011,600.508499,86.58,934355.3808,0.646482311,346.8,10228.2,361.59,604.92,2.90%
8/1/2011,599.751665,87.1,934355.3808,0.646482311,842.1,10138.5,361.74,618.88,3.30%
9/1/2011,599.838011,87.58,934355.3808,0.646482311,1829.9,10451.8,356.27,598.67,3.70%
10/1/2011,601.288186,88.13,934355.3808,-0.094625126,2020.5,9879.2,357.55,600.59,4.40%
11/1/2011,601.769994,88.65,934355.3808,-0.094625126,2232.8,9475.6,370.14,625.46,5.00%
12/1/2011,603.413244,89.23,934355.3808,-0.094625126,1921.2,10842,381.48,644.78,5.60%
1/1/2012,604.36676,89.78,941066.32,0.547558036,347.8,11629.2,372.08,635.31,6.20%
2/1/2012,605.147334,90.34,941066.32,0.547558036,1085.3,10684.3,392.39,671.39,6.60%
3/1/2012,606.752953,90.93,941066.32,0.547558036,1578.1,11338.4,409.45,691.25,7.00%
4/1/2012,607.011685,91.44,941066.32,0.4586082,2901.5,9383.2,425.66,710.32,7.10%
5/1/2012,608.560729,92.05,941066.32,0.4586082,2576.2,10311.2,415.81,723.94,7.40%
6/1/2012,609.944959,92.5,941066.32,0.4586082,406.4,10184.8,442.56,748.57,7.50%
7/1/2012,612.946959,92.92,941066.32,0.806249438,113.7,11111.5,424.34,726.83,7.30%
8/1/2012,613.632167,93.36,941066.32,0.806249438,750.2,11386.5,419.42,705.14,7.20%
9/1/2012,618.078103,93.78,941066.32,0.806249438,1605.2,10838.3,416.89,699.36,7.10%
10/1/2012,625.240142,94.19,941066.32,1.0899147,2208.8,10282.7,406.88,692.11,6.90%
11/1/2012,628.771378,94.54,941066.32,1.0899147,1923.3,10295.4,405.93,697.22,6.60%
12/1/2012,630.990331,94.84,941066.32,1.0899147,1935.9,10695.3,425.42,725.54,6.30%
1/1/2013,631.290173,95.28,459683.3333,-0.264461532,1029,11536.2,419.99,719.52,6.10%
2/1/2013,633.248994,95.65,459683.3333,-0.264461532,1185.2,10390.1,420.57,726.48,5.90%
3/1/2013,634.977377,95.9,459683.3333,-0.264461532,3360.1,10962.9,423.95,728.38,5.50%
4/1/2013,637.379034,96.24,459683.3333,-0.23339837,2075.5,10459.3,451.51,749.03,5.20%
5/1/2013,640.131923,96.48,459683.3333,-0.23339837,1294.9,10566.3,435.19,742.96,4.80%
6/1/2013,641.657904,96.78,459683.3333,-0.23339837,18.6,10707.3,506.08,801.27,4.60%
7/1/2013,645.343038,97.06,459683.3333,-1.78567885,18.3,11537.5,500.15,795.39,4.50%
8/1/2013,649.014898,97.38,459683.3333,-1.78567885,646.1,11368.1,501.24,820.45,4.30%
9/1/2013,653.264812,97.78,459683.3333,-1.78567885,1393.2,9221,492.2,814.58,4.30%
10/1/2013,661.298931,98.19,459683.3333,-1.61764335,957.6,9403.6,476.52,818.98,4.20%
11/1/2013,664.298481,98.56,459683.3333,-1.61764335,1958.9,8628.3,501.97,829.09,4.30%
12/1/2013,667.735901,98.84,459683.3333,-1.61764335,2023.4,9823.6,495.32,834.53,4.20%
1/1/2014,672.774086,99.03,492211.1667,-1.27215101,961.8,9529.6,485.97,826.39,3.90%
2/1/2014,674.648818,99.31,492211.1667,-1.27215101,1306,8472.2,493.95,828.45,3.80%
3/1/2014,676.388704,99.59,492211.1667,-1.27215101,1679.4,7761.8,495.44,844.37,3.80%
4/1/2014,678.195515,99.82,492211.1667,-1.34062907,1618.3,8691.6,501.41,862.77,3.70%
5/1/2014,680.70096,99.98,492211.1667,-1.34062907,416.2,7523.5,533.57,894.93,3.60%
6/1/2014,681.787057,100.09,492211.1667,-1.34062907,537.8,7256.5,573.3,964.47,3.40%
7/1/2014,683.471875,100.24,492211.1667,-0.715227045,447.9,8393.9,534.98,954.02,3.30%
8/1/2014,684.234866,100.32,492211.1667,-0.715227045,1107.3,10096.1,553.22,959.72,3.00%
9/1/2014,685.438907,100.33,492211.1667,-0.715227045,1290.4,8819.3,548.35,958.89,2.60%
10/1/2014,688.684986,100.37,492211.1667,-0.742754283,1798.6,9303.4,555.1,965.68,2.20%
11/1/2014,690.351392,100.42,492211.1667,-0.742754283,1483.7,7257,556.95,972.45,1.90%
12/1/2014,692.442852,100.59,492211.1667,-0.742754283,1340.9,7671.3,574.76,982.11,1.80%
1/1/2015,696.559241,100.72,504771.6571,-0.695798526,695.8,10428.1,576.77,"1,001.41",1.70%
2/1/2015,702.343593,100.78,504771.6571,-0.695798526,1169,10348.8,599.06,"1,000.51",1.50%
3/1/2015,706.249124,100.84,504771.6571,-0.695798526,1519.7,11334.2,598.08,"1,044.73",1.30%
4/1/2015,709.457532,100.92,504771.6571,0.400897543,2141.5,8880.6,636.47,"1,093.32",1.10%
5/1/2015,712.098174,101.11,504771.6571,0.400897543,1347.2,8672.1,664.39,"1,118.86",1.10%
6/1/2015,716.698284,101.34,504771.6571,0.400897543,663.3,7489.4,751.12,"1,192.22",1.20%
7/1/2015,721.869455,101.53,504771.6571,1.60669026,56.4,9573,756.84,"1,188.18",1.30%
8/1/2015,724.969416,101.79,504771.6571,1.60669026,132.2,9886,720.51,"1,173.27",1.50%
9/1/2015,728.206843,102.1,504771.6571,1.60669026,904.8,6317.5,700.91,"1,162.02",1.80%
10/1/2015,733.534503,102.34,504771.6571,2.09628667,1662.3,7782.3,745.42,"1,201.50",2.00%
11/1/2015,739.018328,102.75,504771.6571,2.09628667,1586.5,6297.6,713.03,"1,189.88",2.30%
12/1/2015,744.115672,103.13,504771.6571,2.09628667,929,7695.7,757.19,"1,226.23",2.50%
1/1/2016,751.030734,103.5,513298.6111,3.02330711,920.4,8480.3,776.86,"1,234.42",2.80%
2/1/2016,758.967423,103.87,513298.6111,3.02330711,829.9,8351.5,752.64,"1,220.78",3.10%
3/1/2016,765.78653,104.26,513298.6111,3.02330711,1630.5,9610.6,750.71,"1,223.56",3.40%
4/1/2016,771.28434,104.66,513298.6111,1.81059101,1711.4,8442.6,715.13,"1,220.27",3.70%
5/1/2016,776.374241,105.05,513298.6111,1.81059101,613.3,8549.8,733.67,"1,231.92",3.90%
6/1/2016,780.191677,105.53,513298.6111,1.81059101,115.9,8719.3,790.77,"1,303.21",4.10%
7/1/2016,789.642935,106.12,513298.6111,-0.446463297,155.3,9711,766.63,"1,281.54",4.50%
8/1/2016,800.291884,106.67,513298.6111,-0.446463297,206.7,10049.4,711.53,"1,233.50",4.80%
9/1/2016,808.895136,107.18,513298.6111,-0.446463297,1367.1,8828.1,682,"1,205.02",5.00%
10/1/2016,811.898021,107.83,513298.6111,-1.51404188,1213.9,9695.7,671.56,"1,204.07",5.40%
11/1/2016,815.238616,108.39,513298.6111,-1.51404188,1400.6,8873.9,669.69,"1,212.35",5.50%
12/1/2016,818.539659,109.03,513298.6111,-1.51404188,609.8,9475.6,733.74,"1,266.14",5.70%
1/1/2017,820.387507,109.68,582458.9037,-1.54902541,845.7,10886.4,712.43,"1,272.64",6.00%
2/1/2017,822.860694,110.39,582458.9037,-1.54902541,1159.9,9409.2,699.49,"1,263.44",6.30%
3/1/2017,825.011054,111.07,582458.9037,-1.54902541,1611.4,10278.6,713.61,"1,285.85",6.50%
4/1/2017,826.715246,111.72,582458.9037,-1.11443749,1242.2,9819.5,747.63,"1,289.71",6.70%
5/1/2017,827.656654,112.3,582458.9037,-1.11443749,925.7,10049.8,792.03,"1,313.18",6.90%
6/1/2017,829.154674,112.73,582458.9037,-1.11443749,53.4,10384.2,839.9,"1,382.17",6.80%
7/1/2017,831.166772,113.05,582458.9037,-0.602463673,82.5,10050,801.15,"1,369.76",6.50%
8/1/2017,833.530772,113.35,582458.9037,-0.602463673,302.7,10287.2,807.37,"1,374.76",6.30%
9/1/2017,836.367085,113.69,582458.9037,-0.602463673,941,10361.8,796.4,"1,365.80",6.10%
10/1/2017,839.22421,114.03,582458.9037,-0.156244375,1110.9,10078.2,777.25,"1,358.07",5.70%
11/1/2017,841.855706,114.24,582458.9037,-0.156244375,1614,9814.3,770.7,"1,356.92",5.40%
12/1/2017,844.087417,114.3,582458.9037,-0.156244375,565.6,10507.3,810.06,"1,393.17",4.80%
1/1/2018,846.408207,114.42,613642.3089,0.618464994,1591.6,9933,817.24,"1,422.88",4.30%
2/1/2018,848.815276,114.49,613642.3089,0.618464994,1175.3,9609.9,807.5,"1,432.02",3.70%
3/1/2018,851.420056,114.57,613642.3089,0.618464994,2300.1,10226.7,819.99,"1,448.21",3.20%
4/1/2018,853.914112,114.74,613642.3089,0.364902303,3789.1,10022.1,803.15,"1,433.53",2.70%
5/1/2018,856.049169,115.03,613642.3089,0.364902303,2200.8,10511.7,823.98,"1,455.02",2.40%
6/1/2018,858.516058,115.3,613642.3089,0.364902303,542.4,10540.9,881.38,"1,495.82",2.30%
7/1/2018,861.296447,115.48,613642.3089,-0.010161182,121.3,10940.2,858.69,"1,473.13",2.10%
8/1/2018,864.402416,115.69,613642.3089,-0.010161182,1030.8,10304.8,888.82,"1,483.68",2.10%
9/1/2018,867.671192,115.8,613642.3089,-0.010161182,987.9,10298.4,893.26,"1,492.09",1.90%
10/1/2018,871.415017,115.75,613642.3089,0.618178775,1592.7,11262.2,880.39,"1,487.03",1.50%
11/1/2018,875.141609,115.75,613642.3089,0.618178775,1329.4,10652.1,918,"1,535.15",1.30%
12/1/2018,878.07143,115.86,613642.3089,0.618178775,1849.4,10120.5,954,"1,557.26",1.40%
1/1/2019,880.82925,115.96,598094.5951,2.05901566,901.2,10426.3,937.5,"1,540.00",1.30%
2/1/2019,884.188413,116.03,598094.5951,2.05901566,886,9043.5,962.86,"1,559.64",1.30%
3/1/2019,887.33411,116.14,598094.5951,2.05901566,1440,10399.8,960.79,"1,609.31",1.40%
4/1/2019,890.352252,116.16,598094.5951,3.77167989,1726.4,9203.2,952.59,"1,620.41",1.20%
5/1/2019,893.201716,116.16,598094.5951,3.77167989,1461.8,10737.1,955.06,"1,645.96",1.00%
6/1/2019,896.364485,116.24,598094.5951,3.77167989,648.2,9154.1,"1,001.54","1,696.73",0.80%
7/1/2019,900.372071,116.42,598094.5951,3.37982976,288.4,11063,978.26,"1,690.33",0.80%
8/1/2019,904.023949,116.65,598094.5951,3.37982976,373.2,8170.8,994.32,"1,718.93",0.80%
9/1/2019,907.972901,116.95,598094.5951,3.37982976,1390.6,10324.3,951.42,"1,679.14",1.00%
10/1/2019,911.887874,117.37,598094.5951,1.05099524,2581.8,9745.4,962.23,"1,725.63",1.40%
11/1/2019,916.30024,118.03,598094.5951,1.05099524,2095.2,9660.8,"1,008.88","1,772.36",2.00%
12/1/2019,920.720938,118.67,598094.5951,1.05099524,3041.7,9301.3,"1,128.12","1,860.31",2.40%
1/1/2020,924.471539,119.38,598094.5951,-0.36298551,1863.3,10122.7,"1,116.98","1,838.21",2.90%
2/1/2020,927.778401,120.21,598094.5951,-0.36298551,1377.1,9393.5,"1,132.70","1,902.50",3.60%
3/1/2020,929.977115,121.04,598094.5951,-0.36298551,2879.9,10235.3,"1,062.19","1,838.52",4.20%
4/1/2020,931.054093,121.82,598094.5951,-2.80250369,3387.4,9664.6,"1,087.07","1,859.29",4.90%
5/1/2020,932.68132,122.73,598094.5951,-2.80250369,1242.9,10170.6,"1,108.88","1,926.74",5.70%
6/1/2020,935.291522,123.61,598094.5951,-2.80250369,424.5,8994.9,"1,147.93","2,025.07",6.30%
7/1/2020,940.425072,124.52,598094.5951,-1.96639551,79.5,8873.4,"1,160.78","2,019.56",7.00%
8/1/2020,946.980423,125.4,598094.5951,-1.96639551,242.63,9569.8,"1,132.22","2,022.35",7.50%
9/1/2020,953.366798,126.29,598094.5951,-1.96639551,919.2,9170,"1,151.28","2,069.65",8.00%
10/1/2020,960.657881,127.01,598094.5951,-1.7387613,1764.1,9376.4,"1,161.67","2,088.09",8.20%
11/1/2020,966.018018,127.45,598094.5951,-1.7387613,1927.2,9245.9,"1,138.42","2,072.95",8.00%
12/1/2020,970.55423,127.83,598094.5951,-1.7387613,1058.9,8662,"1,173.46","2,128.92",7.70%
1/1/2021,973.858368,128.12,598094.5951,-1.25773883,1379.8,9969.6,"1,148.45","2,104.89",7.30%
2/1/2021,976.2737,128.28,598094.5951,-1.25773883,1335.2,8523.6,"1,187.22","2,149.79",6.70%
3/1/2021,977.994873,128.49,598094.5951,-1.25773883,1421.4,10147.1,"1,233.50","2,189.56",6.20%
4/1/2021,980.983297,128.74,598094.5951,-0.857529942,1852.4,8897.9,"1,189.14","2,171.15",5.70%
5/1/2021,983.062184,128.72,598094.5951,-0.857529942,1623,9273.5,"1,217.91","2,230.02",4.90%
6/1/2021,985.842179,128.71,598094.5951,-0.857529942,244.4,9177.3,"1,259.12","2,297.59",4.10%
7/1/2021,988.762998,128.67,598094.5951,-0.56718984,120.8,8652.9,"1,267.71","2,281.76",3.30%
8/1/2021,991.54682,128.6,598094.5951,-0.56718984,744.7,8927.8,"1,309.22","2,365.89",2.60%
9/1/2021,995.439171,128.5,598094.5951,-0.56718984,1011,8570.6,"1,208.68","2,328.79",1.70%
10/1/2021,"1,000.20",128.57,598094.5951,-0.066510059,1469.4,9763.5,"1,278.36","2,355.20",1.20%
11/1/2021,"1,004.42",128.68,598094.5951,-0.066510059,1157.5,8532.6,"1,336.50","2,400.37",1.00%
12/1/2021,"1,008.21",128.87,598094.5951,-0.066510059,1490.3,9182.5,"1,315.74","2,423.35",0.80%
1/1/2022,"1,011.16",129.33,598094.5951,-0.161001936,1200.3,8937.2,"1,286.29","2,424.40",0.90%
2/1/2022,"1,014.19",129.95,598094.5951,-0.161001936,2038,8299.3,"1,320.18","2,470.47",1.30%
3/1/2022,"1,017.12",130.76,598094.5951,-0.161001936,1360,8963.5,"1,232.69","2,446.34",1.80%
4/1/2022,"1,019.47",131.83,598094.5951,0.618262881,1898.9,8232.6,"1,428.32","2,604.40",2.40%
5/1/2022,"1,021.13",133.18,598094.5951,0.618262881,793.9,8658,"1,425.66","2,630.10",3.50%
6/1/2022,"1,023.17",134.64,598094.5951,0.618262881,86.08,8197.7,"1,552.59","2,756.49",4.60%
7/1/2022,"1,026.53",136.31,598094.5951,0.420079037,162.6,8118.9,"1,525.82","2,731.51",5.90%
8/1/2022,"1,031.86",138.01,598094.5951,0.420079037,1213,9538.9,"1,667.81","2,925.58",7.30%
9/1/2022,"1,038.50",139.91,598094.5951,0.420079037,951.87,7078.1,"1,703.28","2,997.50",8.90%
10/1/2022,"1,045.74",142.09,598094.5951,0.144185376,818.3,9005.6,"1,682.46","3,005.09",10.50%
11/1/2022,"1,053.71",144.44,598094.5951,0.144185376,1595.3,7298.5,"1,582.68","2,868.65",12.20%
12/1/2022,"1,064.50",146.78,598094.5951,0.144185376,1334.4,8222.6,"1,606.42","2,946.48",13.90%
1/1/2023,"1,077.49",149.06,598094.5951,-0.921855129,861.9,9108.99,"1,665.89","2,905.34",15.30%
2/1/2023,"1,088.56",151.39,598094.5951,-0.921855129,1002.8,8474.7,"1,656.70","2,922.43",16.50%
3/1/2023,"1,096.72",153.62,598094.5951,-0.921855129,2242.8,10209.8,"1,744.88","2,993.05",17.50%
